date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:25:34	986/986	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Sep%202024%2010:25:28%20GMT	https://gta.cash/robots.txt		(from )
13:25:34	23964/23964	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Sep%202024%2010:25:28%20GMT	https://gta.cash/	C:/My%20Web%20Sites/Szaby/gta.cash/index.html	(from )
13:25:34	7494/7494	---M--	200	added ('OK')	image/png	etag:W/%227494-1727579262130%22	https://gta.cash/favicon.png	C:/My%20Web%20Sites/Szaby/gta.cash/favicon.png	(from https://gta.cash/)
13:25:34	15093/15093	---MCZ	200	added ('OK')	text/css	etag:W/%223079-1727529555771%22	https://gta.cash/_app/immutable/assets/0.CpYTn2Fd.css	C:/My%20Web%20Sites/Szaby/gta.cash/_app/immutable/assets/0.CpYTn2Fd.css	(from https://gta.cash/)
13:25:35	2906/2906	---MCZ	200	added ('OK')	text/css	etag:W/%22725-1727529555771%22	https://gta.cash/_app/immutable/assets/3.DNFeJGTK.css	C:/My%20Web%20Sites/Szaby/gta.cash/_app/immutable/assets/3.DNFeJGTK.css	(from https://gta.cash/)
13:25:35	2422/2422	---MCZ	200	added ('OK')	application/javascript	etag:W/%22977-18e16caa8a0%22	https://a.divinemods.com/script.js	C:/My%20Web%20Sites/Szaby/a.divinemods.com/script.js	(from https://gta.cash/)
13:25:36	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Sep%202024%2010:25:30%20GMT	https://fonts.gstatic.com/	C:/My%20Web%20Sites/Szaby/fonts.gstatic.com/index.html	(from https://gta.cash/)
13:25:36	1040/1040	---MC-	200	added ('OK')	text/css	date:Sun,%2029%20Sep%202024%2010:25:30%20GMT	https://fonts.googleapis.com/css2?family=Jost:wght@300;400;600;700;900&display=swap	C:/My%20Web%20Sites/Szaby/fonts.googleapis.com/css24858.css	(from https://gta.cash/)
13:25:36	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Sep%202024%2010:25:30%20GMT	https://fonts.googleapis.com/	C:/My%20Web%20Sites/Szaby/fonts.googleapis.com/index.html	(from https://gta.cash/)
13:25:36	432382/432382	---M--	200	added ('OK')	image/webp	etag:W/%22432382-1727529555499%22	https://gta.cash/_app/immutable/assets/hero.BJumlbWv.webp	C:/My%20Web%20Sites/Szaby/gta.cash/_app/immutable/assets/hero.BJumlbWv.webp	(from https://gta.cash/)
13:25:36	10357/10357	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Sep%202024%2010:25:30%20GMT	https://gta.cash/sellers	C:/My%20Web%20Sites/Szaby/gta.cash/sellers.html	(from https://gta.cash/)
13:25:36	6872/6872	---M--	200	added ('OK')	image/webp	etag:W/%226872-1727529555499%22	https://gta.cash/_app/immutable/assets/icarus.BS328KbY.webp	C:/My%20Web%20Sites/Szaby/gta.cash/_app/immutable/assets/icarus.BS328KbY.webp	(from https://gta.cash/)
13:25:36	7876/7876	---M--	200	added ('OK')	image/webp	etag:W/%227876-1727529555495%22	https://gta.cash/_app/immutable/assets/eth.-8IX5ZEV.webp	C:/My%20Web%20Sites/Szaby/gta.cash/_app/immutable/assets/eth.-8IX5ZEV.webp	(from https://gta.cash/)
13:25:37	6388/6388	---M--	200	added ('OK')	image/webp	etag:W/%226388-1727529555499%22	https://gta.cash/_app/immutable/assets/ryan.BHBjTVA0.webp	C:/My%20Web%20Sites/Szaby/gta.cash/_app/immutable/assets/ryan.BHBjTVA0.webp	(from https://gta.cash/)
13:25:37	5262/5262	---M--	200	added ('OK')	image/webp	etag:W/%225262-1727529555499%22	https://gta.cash/_app/immutable/assets/oxsuu.BKcO5j2a.webp	C:/My%20Web%20Sites/Szaby/gta.cash/_app/immutable/assets/oxsuu.BKcO5j2a.webp	(from https://gta.cash/)
13:25:37	8906/8906	---M--	200	added ('OK')	image/webp	etag:W/%228906-1727529555499%22	https://gta.cash/_app/immutable/assets/skyliner.C2H47uAj.webp	C:/My%20Web%20Sites/Szaby/gta.cash/_app/immutable/assets/skyliner.C2H47uAj.webp	(from https://gta.cash/)
13:25:37	68/68	---MCZ	200	added ('OK')	text/javascript	etag:W/%2272-1727579262338%22	https://gta.cash/_app/immutable/entry/start.DA4Whj0l.js	C:/My%20Web%20Sites/Szaby/gta.cash/_app/immutable/entry/start.DA4Whj0l.js	(from https://gta.cash/)
13:25:38	7823/7823	---MCZ	200	added ('OK')	text/javascript	etag:W/%222871-1727579262338%22	https://gta.cash/_app/immutable/entry/app.BQdhLtCR.js	C:/My%20Web%20Sites/Szaby/gta.cash/_app/immutable/entry/app.BQdhLtCR.js	(from https://gta.cash/)
13:25:38	51/51	---MCZ	200	added ('OK')	text/plain	date:Sun,%2029%20Sep%202024%2010:25:32%20GMT	https://fonts.googleapis.com/robots.txt		(from https://gta.cash/)
13:25:39	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Sep%202024%2010:25:33%20GMT	https://fonts.gstatic.com/robots.txt		(from https://gta.cash/)
13:25:39	58904/58904	---M-Z	200	added ('OK')	font/ttf	date:Wed,%2013%20Sep%202023%2022:36:32%20GMT	https://fonts.gstatic.com/s/jost/v15/92zPtBhPNqw79Ij1E865zBUv7mz9JQVG.ttf	C:/My%20Web%20Sites/Szaby/fonts.gstatic.com/s/jost/v15/92zPtBhPNqw79Ij1E865zBUv7mz9JQVG.ttf	(from https://fonts.googleapis.com/css2?family=Jost:wght@300;400;600;700;900&display=swap)
13:25:39	58796/58796	---M-Z	200	added ('OK')	font/ttf	date:Wed,%2013%20Sep%202023%2022:32:43%20GMT	https://fonts.gstatic.com/s/jost/v15/92zPtBhPNqw79Ij1E865zBUv7myjJQVG.ttf	C:/My%20Web%20Sites/Szaby/fonts.gstatic.com/s/jost/v15/92zPtBhPNqw79Ij1E865zBUv7myjJQVG.ttf	(from https://fonts.googleapis.com/css2?family=Jost:wght@300;400;600;700;900&display=swap)
13:25:40	58936/58936	---M-Z	200	added ('OK')	font/ttf	date:Wed,%2013%20Sep%202023%2022:42:15%20GMT	https://fonts.gstatic.com/s/jost/v15/92zPtBhPNqw79Ij1E865zBUv7mx9IgVG.ttf	C:/My%20Web%20Sites/Szaby/fonts.gstatic.com/s/jost/v15/92zPtBhPNqw79Ij1E865zBUv7mx9IgVG.ttf	(from https://fonts.googleapis.com/css2?family=Jost:wght@300;400;600;700;900&display=swap)
